"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"4850","EL SEGUNDO UNIFIED","California",31358000,5,612210,"LOS ANGELES COUNTY",125.49,26.25,3294
"4851","EL TEJON UNIFIED","California",12799000,5,600026,"KERN COUNTY",41.37,24.66,1020
"4852","EL-HAJJ MALIK EL-SHABAZZ ACADEMY","Michigan",3244000,1,2600080,"INGHAM COUNTY",17,19.18,326
"4853","ELBA CENTRAL SCHOOL DISTRICT","New York",9165000,2,3610380,"GENESEE COUNTY",45.93,10.43,479
"4854","ELBA CITY","Alabama",8105000,3,101260,"COFFEE COUNTY",48,15.6,749
"4855","ELBA PUBLIC SCHOOLS","Nebraska",1660000,2,3170020,"HOWARD COUNTY",15.2,5.79,88
"4856","ELBERT COUNTY","Georgia",32698000,8,1302010,"ELBERT COUNTY",215,15.25,3278
"4857","ELBERT SCHOOL DISTRICT NO. 200","Colorado",2498000,2,803690,"ELBERT COUNTY",22,9.05,199
"4858","ELCHO SCHOOL DISTRICT","Wisconsin",5851000,2,5504170,"LANGLADE COUNTY",32.61,11.32,369
"4859","ELDER GROVE ELEM","Montana",2893000,2,3009720,"YELLOWSTONE COUNTY",23.9,15.94,381
"4860","ELDON R-I","Missouri",19149000,5,2911340,"MILLER COUNTY",142.71,13.43,1916
"4861","ELDORA-NEW PROVIDENCE COMM SCHOOL DISTRICT","Iowa",9860000,2,1910690,"HARDIN COUNTY",47.65,13.96,665
"4862","ELDORADO","Oklahoma",1353000,2,4010680,"JACKSON COUNTY",12.5,10.88,136
"4863","ELDORADO CUSD 4","Illinois",11620000,3,1713660,"SALINE COUNTY",77.43,16.65,1289
"4864","ELDRED CENTRAL SCHOOL DISTRICT","New York",16007000,2,3610410,"SULLIVAN COUNTY",53.02,12.62,669
"4865","ELECTRA ISD","Texas",5237000,3,4818330,"WICHITA COUNTY",43.84,10.31,452
"4866","ELECTRONIC CLASSROOM OF TOMORROW","Ohio",92291000,1,3900079,"FRANKLIN COUNTY",288,37.64,10840
"4867","ELEVA-STRUM SCHOOL DISTRICT","Wisconsin",7869000,3,5504200,"TREMPEALEAU COUNTY",37.6,15.96,600
"4868","ELFRIDA ELEMENTARY DISTRICT","Arizona",1353000,1,402760,"COCHISE COUNTY",14,9.07,127
"4869","ELGIN","Oklahoma",15221000,3,4010710,"COMANCHE COUNTY",109.9,17.94,1972
"4870","ELGIN ISD","Texas",40104000,7,4818360,"BASTROP COUNTY",246.08,16.69,4107
"4871","ELGIN LOCAL","Ohio",26363000,4,3904841,"MARION COUNTY",76,14.54,1105
"4872","ELGIN PUBLIC SCHOOLS","Nebraska",3219000,2,3170050,"ANTELOPE COUNTY",21.37,8.1,173
"4873","ELGIN SD 23","Oregon",4272000,2,4104590,"UNION COUNTY",23.4,16.37,383
"4874","ELGIN-NEW LEIPZIG 49","North Dakota",2654000,2,3800045,"GRANT COUNTY",17.5,7.43,130
"4875","ELIDA LOCAL","Ohio",26203000,4,3904577,"ALLEN COUNTY",133.18,18.16,2419
"4876","ELIDA MUNICIPAL SCHOOLS","New Mexico",2402000,2,3500840,"ROOSEVELT COUNTY",15,9.47,142
"4877","ELITE ACADEMY OF THE ARTS","Ohio",NA,1,3900597,"CUYAHOGA COUNTY",8,28.13,225
"4878","ELIZABETH CITY-PASQUOTANK PUBLIC SCHOOLS","North Carolina",54275000,12,3703540,"PASQUOTANK COUNTY",439.76,13.82,6076
"4879","ELIZABETH FORWARD SD","Pennsylvania",37287000,6,4209090,"ALLEGHENY COUNTY",177.77,13.58,2415
"4880","ELIZABETH PUBLIC SCHOOLS","New Jersey",528622000,33,3404590,"UNION COUNTY",1846,12.67,23386
"4881","ELIZABETHTON","Tennessee",22203000,6,4701110,"CARTER COUNTY",175,13.97,2444
"4882","ELIZABETHTOWN AREA SD","Pennsylvania",48946000,7,4209120,"LANCASTER COUNTY",247.8,15.99,3963
"4883","ELIZABETHTOWN INDEPENDENT","Kentucky",23536000,6,2101650,"HARDIN COUNTY",143.9,17.2,2475
"4884","ELIZABETHTOWN-LEWIS CENTRAL SCHOOL DISTRICT","New York",7315000,1,3610440,"ESSEX COUNTY",30.01,10.2,306
"4885","ELK CITY","Oklahoma",16505000,6,4010740,"BECKHAM COUNTY",135,17.28,2333
"4886","ELK GROVE UNIFIED","California",541376000,66,612330,"SACRAMENTO COUNTY",2610.4,23.8,62126
"4887","ELK HILLS ELEMENTARY","California",2826000,1,612360,"KERN COUNTY",9.5,21.05,200
"4888","ELK HORN-KIMBALLTON COMM SCHOOL DISTRICT","Iowa",3915000,2,1910710,"SHELBY COUNTY",22.84,11.08,253
"4889","ELK LAKE SD","Pennsylvania",17925000,2,4209150,"SUSQUEHANNA COUNTY",106,11.99,1271
"4890","ELK MOUND AREA SCHOOL DISTRICT","Wisconsin",12736000,3,5504230,"DUNN COUNTY",71.5,15.79,1129
"4891","ELK MOUNTAIN SCHOOL DISTRICT 16-2","South Dakota",420000,2,4621300,"CUSTER COUNTY",1.98,5.05,10
"4892","ELK POINT-JEFFERSON SCHOOL DISTRICT 61-7","South Dakota",6602000,3,4621340,"UNION COUNTY",50.69,13.67,693
"4893","ELK RAPIDS SCHOOLS","Michigan",13819000,4,2613050,"ANTRIM COUNTY",70.81,20.08,1422
"4894","ELK RIVER PUBLIC SCHOOL DISTRICT","Minnesota",161766000,26,2711370,"SHERBURNE COUNTY",682.83,18.78,12823
"4895","ELK TOWNSHIP SCHOOL DISTRICT","New Jersey",6058000,1,3404620,"GLOUCESTER COUNTY",31.6,12.47,394
"4896","ELK VALLEY","Kansas",2535000,2,2005760,"ELK COUNTY",21,8.67,182
"4897","ELKHART","Kansas",9271000,5,2005790,"MORTON COUNTY",66.7,15.37,1025
"4898","ELKHART COMMUNITY SCHOOLS","Indiana",173740000,20,1803270,"ELKHART COUNTY",767.69,16.33,12536
"4899","ELKHART ISD","Texas",11504000,5,4818390,"ANDERSON COUNTY",96.5,13.17,1271
"4900","ELKHART LAKE-GLENBEULAH SCHOOL DISTRICT","Wisconsin",6377000,2,5504260,"SHEBOYGAN COUNTY",36.37,13.83,503
"4901","ELKHORN AREA SCHOOL DISTRICT","Wisconsin",38242000,6,5504290,"WALWORTH COUNTY",192.17,16.89,3246
"4902","ELKHORN PUBLIC SCHOOLS","Nebraska",68371000,14,3170110,"DOUGLAS COUNTY",397.25,15.25,6059
"4903","ELKHORN VALLEY SCHOOLS","Nebraska",4839000,2,3100025,"MADISON COUNTY",30.28,10.01,303
"4904","ELKIN CITY SCHOOLS","North Carolina",12042000,3,3701380,"SURRY COUNTY",88.53,13.61,1205
"4905","ELKINS ELEMENTARY","California",315000,1,612420,"TEHAMA COUNTY",1,15,15
"4906","ELKINS SCHOOL DISTRICT","Arkansas",10785000,4,505760,"WASHINGTON COUNTY",82.01,14.24,1168
"4907","ELKO COUNTY SCHOOL DISTRICT","Nevada",102031000,31,3200120,"ELKO COUNTY",520,18.48,9612
"4908","ELKTON SCHOOL DISTRICT 05-3","South Dakota",3839000,5,4621390,"BROOKINGS COUNTY",27.69,12.57,348
"4909","ELKTON SD 34","Oregon",3315000,1,4104620,"DOUGLAS COUNTY",15.75,15.87,250
"4910","ELKTON-PIGEON-BAY PORT LAKER SCHOOLS","Michigan",9657000,3,2613090,"HURON COUNTY",47.17,19.76,932
"4911","ELL-SALINE","Kansas",5853000,2,2005800,"SALINE COUNTY",36.8,13.18,485
"4912","ELLENDALE 40","North Dakota",4904000,3,3806090,"DICKEY COUNTY",38.59,8.76,338
"4913","ELLENSBURG SCHOOL DISTRICT","Washington",29469000,8,5302460,"KITTITAS COUNTY",149.28,20.48,3058
"4914","ELLENVILLE CENTRAL SCHOOL DISTRICT","New York",40682000,3,3610500,"ULSTER COUNTY",137.76,12.67,1746
"4915","ELLICOTT SCHOOL DISTRICT NO. 22 IN THE COUNTY OF EL PASO A","Colorado",8774000,3,803750,"EL PASO COUNTY",56.12,17.87,1003
"4916","ELLICOTTVILLE CENTRAL SCHOOL DISTRICT","New York",10255000,2,3610530,"CATTARAUGUS COUNTY",49.82,11.54,575
"4917","ELLINGTON SCHOOL DISTRICT","Connecticut",37482000,6,901440,"TOLLAND COUNTY",190.2,14.44,2747
"4918","ELLINWOOD PUBLIC SCHOOLS","Kansas",5414000,3,2005820,"BARTON COUNTY",31.7,14.1,447
"4919","ELLIOTT COUNTY","Kentucky",11665000,4,2101680,"ELLIOTT COUNTY",74.54,14.54,1084
"4920","ELLIS","Kansas",4785000,2,2005850,"ELLIS COUNTY",34.2,11.37,389
"4921","ELLISTON ELEM","Montana",235000,1,3009780,"POWELL COUNTY",3,5.33,16
"4922","ELLISVILLE STATE SCHOOL ADM","Mississippi",NA,1,2801192,"JONES COUNTY",8,0,0
"4923","ELLSWORTH","Kansas",6953000,3,2005870,"ELLSWORTH COUNTY",56.7,10.63,603
"4924","ELLSWORTH COMMUNITY SCHOOL","Michigan",2226000,1,2613110,"ANTRIM COUNTY",11.4,19.04,217
"4925","ELLSWORTH COMMUNITY SCHOOL DISTRICT","Wisconsin",20713000,5,5504320,"PIERCE COUNTY",102.93,16.39,1687
"4926","ELLSWORTH PUBLIC SCHOOL DISTRICT","Minnesota",1968000,2,2711460,"NOBLES COUNTY",20.45,8.56,175
"4927","ELLSWORTH SCHOOL DISTRICT","New Hampshire",130000,NA,3302870,"GRAFTON COUNTY",0,NA,6
"4928","ELLWOOD CITY AREA SD","Pennsylvania",25039000,4,4209240,"LAWRENCE COUNTY",125,15.34,1918
"4929","ELM CITY COLLEGE PREPARATORY","Connecticut",7671000,1,900214,"NEW HAVEN COUNTY",42.5,14.12,600
"4930","ELM CREEK PUBLIC SCHOOLS","Nebraska",5036000,2,3170140,"BUFFALO COUNTY",26.62,12.47,332
"4931","ELM RIVER TOWNSHIP SCHOOL DISTRICT","Michigan",3e+05,1,2613140,"HOUGHTON COUNTY",1.8,3.33,6
"4932","ELMA SCHOOL DISTRICT","Washington",15657000,4,5302490,"GRAYS HARBOR COUNTY",78.56,20.7,1626
"4933","ELMBROOK SCHOOL DISTRICT","Wisconsin",99281000,11,5501770,"WAUKESHA COUNTY",445.73,16.05,7154
"4934","ELMER BOROUGH BOARD OF EDUCATION","New Jersey",3931000,NA,3404650,"SALEM COUNTY",0,NA,NA
"4935","ELMHURST SD 205","Illinois",122379000,13,1713970,"DUPAGE COUNTY",518.1,16.1,8340
"4936","ELMIRA CITY SCHOOL DISTRICT","New York",123152000,13,3610560,"CHEMUNG COUNTY",513.5,13.65,7007
"4937","ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT","New York",19328000,3,3610590,"CHEMUNG COUNTY",82.18,12.62,1037
"4938","ELMONT UNION FREE SCHOOL DISTRICT","New York",73371000,6,3610620,"NASSAU COUNTY",316.62,12.37,3918
"4939","ELMORE CITY-PERNELL","Oklahoma",4682000,2,4010860,"GARVIN COUNTY",35.2,13.75,484
"4940","ELMORE COUNTY","Alabama",91394000,15,101290,"ELMORE COUNTY",582,19.3,11230
"4941","ELMORE SCHOOL DISTRICT","Vermont",1459000,1,5003750,"LAMOILLE COUNTY",1,124,124
"4942","ELMSFORD UNION FREE SCHOOL DISTRICT","New York",29751000,3,3610650,"WESTCHESTER COUNTY",91.33,10.33,943
"4943","ELMWOOD CUSD 322","Illinois",7436000,3,1714050,"PEORIA COUNTY",49,13.94,683
"4944","ELMWOOD LOCAL","Ohio",13465000,3,3905068,"WOOD COUNTY",75,17.43,1307
"4945","ELMWOOD PARK BOARD OF EDUCATION","New Jersey",37855000,5,3404660,"BERGEN COUNTY",151.7,16.35,2480
"4946","ELMWOOD PARK CUSD 401","Illinois",43883000,5,1714100,"COOK COUNTY",174.46,17.1,2983
"4947","ELMWOOD SCHOOL DISTRICT","Wisconsin",5420000,3,5504350,"PIERCE COUNTY",22.6,14.42,326
"4948","ELMWOOD VILLAGE CHARTER SCHOOL","New York",NA,1,3600160,"ERIE COUNTY",22,11.27,248
"4949","ELMWOOD-MURDOCK PUBLIC SCHOOLS","Nebraska",5535000,2,3101992,"CASS COUNTY",34.79,12.16,423
"4950","ELOY ELEMENTARY DISTRICT","Arizona",8262000,3,402790,"PINAL COUNTY",56.9,18.58,1057
"4951","ELSBERRY R-II","Missouri",7987000,3,2911400,"LINCOLN COUNTY",58.6,13.46,789
"4952","ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS","District of Columbia",7006000,1,1100009,"DISTRICT OF COLUMBIA",42,8.38,352
"4953","ELSINBORO TOWNSHIP SCHOOL DISTRICT","New Jersey",2139000,1,3404680,"SALEM COUNTY",11.9,8.32,99
"4954","ELVERADO CUSD 196","Illinois",4947000,4,1713860,"JACKSON COUNTY",36.78,13.81,508
"4955","ELVERTA JOINT ELEMENTARY","California",2292000,2,612600,"SACRAMENTO COUNTY",14.17,18.84,267
"4956","ELWOOD CCSD 203","Illinois",4214000,1,1714160,"WILL COUNTY",26,16.42,427
"4957","ELWOOD COMMUNITY SCHOOL CORP","Indiana",18739000,4,1803300,"MADISON COUNTY",84.68,18.85,1596
"4958","ELWOOD PUBLIC SCHOOLS","Nebraska",3895000,2,3170220,"GOSPER COUNTY",24.36,10.18,248
"4959","ELWOOD UNION FREE SCHOOL DISTRICT","New York",54937000,4,3610680,"SUFFOLK COUNTY",177.71,14.38,2556
"4960","ELY PUBLIC SCHOOL DISTRICT","Minnesota",6365000,2,2711520,"ST. LOUIS COUNTY",33.88,16.15,547
"4961","ELYRIA CITY SCHOOLS","Ohio",88519000,13,3904394,"LORAIN COUNTY",436.73,15.15,6616
"4962","ELYSIAN CHARTER SCHOOL","New Jersey",4693000,1,3400029,"HUDSON COUNTY",21.4,13.36,286
"4963","ELYSIAN ELEM","Montana",1393000,2,3009840,"YELLOWSTONE COUNTY",12.52,13.26,166
"4964","ELYSIAN FIELDS ISD","Texas",10913000,3,4818480,"HARRISON COUNTY",84.35,12.32,1039
"4965","EMAN HAMILTON ACADEMY","Michigan",4071000,1,2600987,"WAYNE COUNTY",18,28,504
"4966","EMANUEL COUNTY","Georgia",40362000,8,1302040,"EMANUEL COUNTY",282.8,15.7,4439
"4967","EMERADO 127","North Dakota",1874000,1,3806360,"GRAND FORKS COUNTY",11.37,12.14,138
"4968","EMERSON ACADEMY","Ohio",6997000,1,3900315,"MONTGOMERY COUNTY",31,21.81,676
"4969","EMERSON PUBLIC SCHOOLS","New Jersey",20194000,3,3404710,"BERGEN COUNTY",91.9,12.95,1190
"4970","EMERSON-HUBBARD PUBLIC SCHOOLS","Nebraska",3774000,2,3100141,"DIXON COUNTY",25.66,11.03,283
"4971","EMERSON-TAYLOR SCHOOL DISTRICT","Arkansas",6572000,4,500068,"COLUMBIA COUNTY",56.02,11.32,634
"4972","EMERY DISTRICT","Utah",24442000,10,4900270,"EMERY COUNTY",129.77,18.6,2414
"4973","EMERY UNIFIED","California",13729000,2,612630,"ALAMEDA COUNTY",43,16.74,720
"4974","EMILY FISHER CHARTER SCHOOL","New Jersey",225000,1,3400037,"MERCER COUNTY",41.2,9.51,392
"4975","EMILY O. GOODRIDGE-GREY ACCELERATED","Minnesota",3532000,1,2700306,"HENNEPIN COUNTY",17,16,272
"4976","EMINENCE COMMUNITY SCHOOL CORP","Indiana",5320000,2,1803330,"MORGAN COUNTY",35.19,13.64,480
"4977","EMINENCE INDEPENDENT","Kentucky",6305000,3,2101710,"HENRY COUNTY",41.2,15.97,658
"4978","EMINENCE R-I","Missouri",3396000,2,2911450,"SHANNON COUNTY",22.26,13.16,293
"4979","EMMETSBURG COMM SCHOOL DISTRICT","Iowa",9183000,3,1910950,"PALO ALTO COUNTY",57.46,12.41,713
"4980","EMMETT INDEPENDENT DIST","Idaho",19221000,11,1601020,"GEM COUNTY",142.3,17.93,2551
"4981","EMMONS CO SPECIAL ED UNIT","North Dakota",251000,1,3880400,"EMMONS COUNTY",0.75,NA,NA
"4982","EMMONS SD 33","Illinois",4967000,1,1714250,"LAKE COUNTY",29.79,10.94,326
"4983","EMPIRE","Oklahoma",3988000,3,4010890,"STEPHENS COUNTY",30.6,16.08,492
"4984","EMPIRE ELEMENTARY DISTRICT","Arizona",212000,NA,402820,"PIMA COUNTY",NA,NA,9
"4985","EMPIRE UNION ELEMENTARY","California",31579000,6,612690,"STANISLAUS COUNTY",126.37,23.72,2997
"4986","EMPLOY-ABILITY UNLIMITED  INC.","Arizona",2007000,2,400133,"MARICOPA COUNTY",NA,NA,259
"4987","EMPORIA","Kansas",49278000,9,2005940,"LYON COUNTY",395.4,12,4745
"4988","ENCINITAS UNION ELEMENTARY","California",51511000,9,612750,"SAN DIEGO COUNTY",250.7,21.84,5475
"4989","ENDEAVOR CHARTER","North Carolina",3379000,1,3700314,"WAKE COUNTY",31,15.32,475
"4990","ENDEAVOR CHARTER ACADEMY","Michigan",5717000,1,2600192,"CALHOUN COUNTY",33.95,20.5,696
"4991","ENDEAVOR HALL","Utah",1333000,1,4900155,"SALT LAKE COUNTY",13,22.92,298
"4992","ENDERLIN AREA 24","North Dakota",4349000,2,3800061,"RANSOM COUNTY",29.97,10.74,322
"4993","ENDICOTT SCHOOL DISTRICT","Washington",2369000,1,5302520,"WHITMAN COUNTY",12.43,6.92,86
"4994","ENFIELD SCHOOL DISTRICT","Connecticut",89160000,13,901470,"HARTFORD COUNTY",440.9,12.82,5653
"4995","ENGADINE CONSOLIDATED SCHOOLS","Michigan",2839000,1,2615600,"MACKINAC COUNTY",17.94,15.61,280
"4996","ENGLAND SCHOOL DISTRICT","Arkansas",7794000,2,505850,"LONOKE COUNTY",64.17,11.87,762
"4997","ENGLEWOOD CLIFFS PUBLIC SCHOOLS","New Jersey",11422000,2,3404770,"BERGEN COUNTY",43.4,8.39,364
"4998","ENGLEWOOD ON THE PALISADES CHARTER SCHOOL","New Jersey",3423000,1,3400014,"BERGEN COUNTY",18,10.67,192
"4999","ENGLEWOOD PUBLIC SCHOOL DISTRICT","New Jersey",71045000,5,3404740,"BERGEN COUNTY",278.5,10.47,2916
"5000","ENGLEWOOD SCHOOL DISTRICT NO. 1 IN THE COUNTY OF ARAPAHOE","Colorado",36617000,9,803780,"ARAPAHOE COUNTY",163.91,18.02,2954
"5001","ENGLISH VALLEYS COMM SCHOOL DISTRICT","Iowa",7093000,2,1910980,"IOWA COUNTY",40.8,13.11,535
"5002","ENID","Oklahoma",64599000,15,4010920,"GARFIELD COUNTY",437.7,16.65,7288
"5003","ENNIS ISD","Texas",56576000,10,4818540,"ELLIS COUNTY",378.16,15.45,5844
"5004","ENNIS K-12 SCHOOLS","Montana",5700000,3,3009930,"MADISON COUNTY",24.74,13.58,336
"5005","ENOSBURGH TOWN SCHOOL DISTRICT","Vermont",10663000,3,5003780,"FRANKLIN COUNTY",71.84,7.02,504
"5006","ENTERPRISE ACADEMY/NEWPORT NEWS CITY","Virginia",NA,1,5100073,"NEWPORT NEWS CITY",0,NA,NA
"5007","ENTERPRISE CHARTER SCHOOL","New York",NA,1,3600073,"ERIE COUNTY",29.55,13.64,403
"5008","ENTERPRISE CITY","Alabama",58266000,11,101320,"COFFEE COUNTY",335.5,19.61,6578
"5009","ENTERPRISE ELEMENTARY","California",35072000,8,612810,"SHASTA COUNTY",158.6,22.27,3532
"5010","ENTERPRISE SCHOOL DIST","Mississippi",7996000,3,2801440,"CLARKE COUNTY",70.28,14.14,994
"5011","ENTERPRISE SD 21","Oregon",4253000,2,4105080,"WALLOWA COUNTY",24.71,16.55,409
"5012","ENTHEOS ACADEMY","Utah",3200000,2,4900041,"SALT LAKE COUNTY",26.92,19.43,523
"5013","ENTIAT SCHOOL DISTRICT","Washington",4264000,2,5302550,"CHELAN COUNTY",20.98,16.97,356
"5014","ENTREPRENEURSHIP PREPARATORY SCHOOL - WOODLAND HILLS CAMPUS","Ohio",NA,1,3901406,"CUYAHOGA COUNTY",NA,NA,NA
"5015","ENUMCLAW SCHOOL DISTRICT","Washington",48331000,9,5300001,"KING COUNTY",238.75,17.43,4162
"5016","ENVIRONMENT COMMUNITY OPPORTUNITY (ECO) CHARTER SCHOOL","New Jersey",3702000,1,3400079,"CAMDEN COUNTY",17,12.47,212
"5017","ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK","Pennsylvania",6802000,1,4200812,"ALLEGHENY COUNTY",47.25,9.33,441
"5018","ENVISIONS LEVEL III SCH PROG","Nebraska",NA,1,3100156,"MADISON COUNTY",1.02,0,0
"5019","EPHRATA AREA SD","Pennsylvania",56949000,6,4209270,"LANCASTER COUNTY",246.24,16.85,4148
"5020","EPHRATA SCHOOL DISTRICT","Washington",22146000,8,5302610,"GRANT COUNTY",115.98,20.4,2366
"5021","EPPING SAU OFFICE","New Hampshire",NA,NA,3399914,"ROCKINGHAM COUNTY",0,NA,NA
"5022","EPPING SCHOOL DISTRICT","New Hampshire",16268000,3,3302880,"ROCKINGHAM COUNTY",84.9,11.7,993
"5023","EPSOM SCHOOL DISTRICT","New Hampshire",8981000,1,3302910,"MERRIMACK COUNTY",35.7,17.96,641
"5024","EPWORTH VILLAGE LEARNING CTR","Nebraska",NA,1,3100162,"YORK COUNTY",13,0,0
"5025","EQUALITY CHARTER SCHOOL","New York",NA,1,3601005,"BRONX COUNTY",21.02,10.85,228
"5026","EQUITY PROJECT CHARTER SCHOOL (THE)","New York",NA,1,3600952,"NEW YORK COUNTY",24,15.21,365
"5027","ERA ISD","Texas",4514000,1,4818600,"COOKE COUNTY",37.39,11.77,440
"5028","ERATH EXCELS ACADEMY INC","Texas",1721000,2,4800159,"ERATH COUNTY",18.01,9.44,170
"5029","ERICK","Oklahoma",2609000,2,4011040,"BECKHAM COUNTY",22.2,11.58,257
"5030","ERIE 1 BOCES","New York",NA,1,3680300,"ERIE COUNTY",241.25,NA,NA
"5031","ERIE 2-CHAUTAUQUA-CATTARAUGUS BOCES","New York",NA,1,3680320,"ERIE COUNTY",197.39,NA,NA
"5032","ERIE CITY SD","Pennsylvania",163406000,23,4209300,"ERIE COUNTY",935,13.18,12324
"5033","ERIE COUNTY TECHNICAL SCHOOL","Pennsylvania",6269000,1,4280210,"ERIE COUNTY",25.49,0,0
"5034","ERIE CUSD 1","Illinois",11939000,3,1714350,"WHITESIDE COUNTY",62.5,11.3,706
"5035","ERIE RISE LEADERSHIP ACADEMY CHARTER SCHOOL","Pennsylvania",1763000,1,4200854,"ERIE COUNTY",11.1,12.97,144
"5036","ERIE-GALESBURG","Kansas",8206000,3,2006000,"NEOSHO COUNTY",46,12.26,564
"5037","ERIN SCHOOL DISTRICT","Wisconsin",3808000,1,5504410,"WASHINGTON COUNTY",23.6,14.11,333
"5038","ERLANGER-ELSMERE INDEPENDENT","Kentucky",23050000,7,2101740,"KENTON COUNTY",141.27,16.09,2273
"5039","ERROL SCHOOL DISTRICT","New Hampshire",570000,1,3302940,"COOS COUNTY",2,6,12
"5040","ERVING","Massachusetts",7034000,1,2504710,"FRANKLIN COUNTY",15.54,10.1,157
"5041","ESC OF CENTRAL OHIO","Ohio",72525000,NA,3904693,"FRANKLIN COUNTY",88.23,0,0
"5042","ESC OF CUYAHOGA COUNTY","Ohio",69095000,NA,3904653,"CUYAHOGA COUNTY",136.5,0,0
"5043","ESC OF LAKE ERIE WEST","Ohio",20910000,NA,3904819,"LUCAS COUNTY",55.98,0,0
"5044","ESCALON UNIFIED","California",23430000,7,612840,"SAN JOAQUIN COUNTY",123.22,23.42,2886
"5045","ESCAMBIA","Florida",355483000,72,1200510,"ESCAMBIA COUNTY",3410,11.88,40496
"5046","ESCAMBIA COUNTY","Alabama",45626000,14,101350,"ESCAMBIA COUNTY",307,14.79,4539
"5047","ESCANABA AREA PUBLIC SCHOOLS","Michigan",25520000,6,2613500,"DELTA COUNTY",120,21.29,2555
"5048","ESCONDIDO UNION","California",166997000,25,612880,"SAN DIEGO COUNTY",808.41,23.62,19093
"5049","ESCONDIDO UNION HIGH","California",103395000,7,612910,"SAN DIEGO COUNTY",385.25,24.17,9312
"5050","ESD 159","Illinois",35207000,5,1736300,"COOK COUNTY",132.56,14.84,1967
"5051","ESKO PUBLIC SCHOOL DISTRICT","Minnesota",11422000,2,2738880,"CARLTON COUNTY",72.18,16.92,1221
"5052","ESL REGIONAL VOCATIONAL SYSTEM","Illinois",NA,NA,1700298,"ST. CLAIR COUNTY",0,NA,NA
"5053","ESMERALDA COUNTY SCHOOL DISTRICT","Nevada",2590000,4,3200150,"ESMERALDA COUNTY",6,10.67,64
"5054","ESPANOLA PUBLIC SCHOOLS","New Mexico",42931000,15,3500900,"RIO ARRIBA COUNTY",262.99,16.79,4416
"5055","ESPARTO UNIFIED","California",10837000,3,612930,"YOLO COUNTY",42.84,24.32,1042
"5056","ESPERANZA ACADEMY CHARTER HIGH SCHOOL","Pennsylvania",9838000,1,4200076,"PHILADELPHIA COUNTY",47.2,15.89,750
"5057","ESPERANZA COMMUNITY COLLEGIAL ACADEMY","Arizona",377000,1,400421,"MARICOPA COUNTY",NA,NA,49
"5058","ESPERANZA SCHOOL","Utah",NA,1,4900161,"SALT LAKE COUNTY",NA,NA,NA
"5059","ESPIRITU COMMUNITY DEVELOPMENT CORP.","Arizona",5907000,3,400052,"MARICOPA COUNTY",NA,NA,694
"5060","ESSEX AGRICULTURAL TECHNICAL","Massachusetts",11970000,1,2504750,"ESSEX COUNTY",47.64,10.12,482
"5061","ESSEX CALEDONIA SUPERVISORY UNION","Vermont",1294000,NA,5099918,"ESSEX COUNTY",1,NA,NA
"5062","ESSEX CO PBLC SCHS","Virginia",18538000,3,5101200,"ESSEX COUNTY",129.88,12.53,1627
"5063","ESSEX COMM SCHOOL DISTRICT","Iowa",3154000,2,1911040,"PAGE COUNTY",21.11,10.99,232
"5064","ESSEX COMMUNITY EDUCATION CENTER","Vermont",32731000,2,5000006,"CHITTENDEN COUNTY",148.8,7.45,1108
"5065","ESSEX COUNTY VOCATIONAL TECHNICAL SCHOOLS","New Jersey",53612000,4,3404800,"ESSEX COUNTY",190,11.13,2114
"5066","ESSEX FELLS SCHOOL DISTRICT","New Jersey",4727000,1,3404830,"ESSEX COUNTY",26.2,7.79,204
"5067","ESSEX JUNCTION INCORPORATED SCHOOL DISTRICT","Vermont",17297000,4,5003810,"CHITTENDEN COUNTY",86.7,12.33,1069
"5068","ESSEX NORTH SUPERVISORY UNION","Vermont",1240000,NA,5099919,"ESSEX COUNTY",2.65,NA,NA
"5069","ESSEX REGIONAL EDUCATIONAL SERVICES COMMISSION","New Jersey",74072000,3,3480300,"ESSEX COUNTY",33.5,1.7,57
"5070","ESSEX SCHOOL DISTRICT","Connecticut",9503000,1,901500,"MIDDLESEX COUNTY",51.82,10.77,558
"5071","ESSEX TOWN SCHOOL DISTRICT","Vermont",19770000,3,5003840,"CHITTENDEN COUNTY",94.65,13.32,1261
"5072","ESSEX TOWN SUPERVISORY DISTRICT","Vermont",NA,NA,5099959,"CHITTENDEN COUNTY",1.7,NA,NA
"5073","ESSEXVILLE-HAMPTON PUBLIC SCHOOLS","Michigan",16648000,5,2613530,"BAY COUNTY",86.72,20.35,1765
"5074","ESTACADA SD 108","Oregon",25314000,8,4104700,"CLACKAMAS COUNTY",110.62,25.12,2779
"5075","ESTANCIA MUNICIPAL SCHOOLS","New Mexico",9413000,6,3500930,"TORRANCE COUNTY",62.5,13.63,852
"5076","ESTELL MANOR CITY SCHOOL DISTRICT","New Jersey",4856000,1,3404860,"ATLANTIC COUNTY",12.4,15.24,189
"5077","ESTELLINE SCHOOL DISTRICT 28-2","South Dakota",3125000,3,4622410,"HAMLIN COUNTY",19.88,13.13,261
"5078","ESTEM ELEMENTARY CHARTER","Arkansas",3977000,1,500395,"PULASKI COUNTY",30,15.53,466
