"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"355","ALPHONSO CRUTCH'S-LIFE SUPPORT CENTER","Texas",NA,1,4800111,"HARRIS COUNTY",NA,NA,NA
"356","ALPINE COUNTY OFFICE OF EDUCATION","California",1602000,1,691058,"ALPINE COUNTY",NA,NA,NA
"357","ALPINE COUNTY UNIFIED","California",3057000,2,602070,"ALPINE COUNTY",9,10.78,97
"358","ALPINE DISTRICT","Utah",473421000,82,4900030,"UTAH COUNTY",2820.8,24.69,69639
"359","ALPINE ELEMENTARY DISTRICT","Arizona",1053000,1,400630,"APACHE COUNTY",5,14.2,71
"360","ALPINE ELEMENTARY SCHOOL DISTRICT","New Jersey",6101000,1,3400870,"BERGEN COUNTY",19.3,7.46,144
"361","ALPINE ISD","Texas",12619000,3,4807950,"BREWSTER COUNTY",91.33,12.13,1108
"362","ALPINE UNION ELEMENTARY","California",17032000,7,602100,"SAN DIEGO COUNTY",82.78,24.04,1990
"363","ALSEA SD 7J","Oregon",1920000,2,4101200,"BENTON COUNTY",8.2,16.71,137
"364","ALSIP-HAZLGRN-OAKLWN SD 126","Illinois",28027000,4,1703480,"COOK COUNTY",113.29,14.09,1596
"365","ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY","Virginia",NA,1,5100078,"MONTGOMERY COUNTY",0,NA,NA
"366","ALTA COMM SCHOOL DISTRICT","Iowa",7069000,2,1903480,"BUENA VISTA COUNTY",38.5,14,539
"367","ALTA LOMA ELEMENTARY","California",52015000,10,602160,"SAN BERNARDINO COUNTY",235.25,26.63,6264
"368","ALTA VISTA CHARTER SCH.","Missouri",5686000,2,2900029,"JACKSON COUNTY",33.82,10.64,360
"369","ALTA VISTA ELEMENTARY","California",4715000,1,602220,"TULARE COUNTY",25,20.64,516
"370","ALTA-DUTCH FLAT UNION ELEMENTARY","California",973000,2,602250,"PLACER COUNTY",6.2,15.81,98
"371","ALTAMONT CUSD 10","Illinois",7859000,2,1703510,"EFFINGHAM COUNTY",59.5,13.6,809
"372","ALTAR VALLEY ELEMENTARY DISTRICT","Arizona",9193000,2,404770,"PIMA COUNTY",37,26.05,964
"373","ALTENBURG 48","Missouri",1567000,1,2903040,"PERRY COUNTY",10.67,15.56,166
"374","ALTERNATIVE EDUCATION ACADEMY","Ohio",13460000,1,3900203,"LUCAS COUNTY",63,29.59,1864
"375","ALTERNATIVES ACADEMY/JOURNEYS","Nebraska",NA,1,3100173,"SARPY COUNTY",1,0,0
"376","ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT","New York",32932000,4,3602820,"OSWEGO COUNTY",114.65,11.55,1324
"377","ALTO ISD","Texas",6807000,3,4807980,"CHEROKEE COUNTY",61.24,10.89,667
"378","ALTON CUSD 11","Illinois",74390000,11,1703600,"MADISON COUNTY",454.17,14.11,6408
"379","ALTON R-IV","Missouri",6720000,2,2903060,"OREGON COUNTY",61.5,12.07,742
"380","ALTON SAU OFFICE","New Hampshire",NA,NA,3300020,"BELKNAP COUNTY",0,NA,NA
"381","ALTON SCHOOL DISTRICT","New Hampshire",12971000,1,3301440,"BELKNAP COUNTY",44,18.68,822
